"Participant" "Onset" "Determiner" "Agecat" "Age" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"140" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "1000" 0.8 4 5 1.09861228866811
"141" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "100" 0.2 1 5 -1.09861228866811
"142" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "200" 0.2 1 5 -1.09861228866811
"143" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "300" 0.2 1 5 -1.09861228866811
"144" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "400" 0.2 1 5 -1.09861228866811
"145" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "500" 0.2 1 5 -1.09861228866811
"146" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "600" 0.4 2 5 -0.336472236621213
"147" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "700" 0.4 2 5 -0.336472236621213
"148" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "800" 0.6 3 5 0.336472236621213
"149" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "900" 0.8 4 5 1.09861228866811
"150" "P0145yo" "Same" "AN" "Four-Five" 61 "N" "1000" 0.8 4 5 1.09861228866811
"151" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "100" 0.6 3 5 0.336472236621213
"152" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "200" 0.6 3 5 0.336472236621213
"153" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "300" 0.6 3 5 0.336472236621213
"154" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "400" 0.6 3 5 0.336472236621213
"155" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "500" 0.6 3 5 0.336472236621213
"156" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "600" 0.6 3 5 0.336472236621213
"157" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "700" 0.8 4 5 1.09861228866811
"158" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "800" 0.8 4 5 1.09861228866811
"159" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "900" 0.8 4 5 1.09861228866811
"160" "P0145yo" "Same" "AN" "Four-Five" 61 "Y" "1000" 0.8 4 5 1.09861228866811
"161" "P033yo" "Different" "A" "Three" 36 "N" "100" 0.4 2 5 -0.336472236621213
"162" "P033yo" "Different" "A" "Three" 36 "N" "200" 0.4 2 5 -0.336472236621213
"163" "P033yo" "Different" "A" "Three" 36 "N" "300" 0.4 2 5 -0.336472236621213
"164" "P033yo" "Different" "A" "Three" 36 "N" "400" 0.4 2 5 -0.336472236621213
"165" "P033yo" "Different" "A" "Three" 36 "N" "500" 0.4 2 5 -0.336472236621213
"166" "P033yo" "Different" "A" "Three" 36 "N" "600" 0.4 2 5 -0.336472236621213
"167" "P033yo" "Different" "A" "Three" 36 "N" "700" 0.6 3 5 0.336472236621213
"168" "P033yo" "Different" "A" "Three" 36 "N" "800" 0.6 3 5 0.336472236621213
"169" "P033yo" "Different" "A" "Three" 36 "N" "900" 0.6 3 5 0.336472236621213
"170" "P033yo" "Different" "A" "Three" 36 "N" "1000" 1 5 5 2.39789527279837
"171" "P033yo" "Different" "A" "Three" 36 "Y" "100" 0.5 2 4 0
"172" "P033yo" "Different" "A" "Three" 36 "Y" "200" 0.5 2 4 0
"173" "P033yo" "Different" "A" "Three" 36 "Y" "300" 0.5 2 4 0
"174" "P033yo" "Different" "A" "Three" 36 "Y" "400" 0.5 2 4 0
"175" "P033yo" "Different" "A" "Three" 36 "Y" "500" 0.5 2 4 0
"176" "P033yo" "Different" "A" "Three" 36 "Y" "600" 0.5 2 4 0
"177" "P033yo" "Different" "A" "Three" 36 "Y" "700" 1 4 4 2.19722457733622
"178" "P033yo" "Different" "A" "Three" 36 "Y" "800" 1 4 4 2.19722457733622
"179" "P033yo" "Different" "A" "Three" 36 "Y" "900" 1 4 4 2.19722457733622
"180" "P033yo" "Different" "A" "Three" 36 "Y" "1000" 1 4 4 2.19722457733622
"181" "P033yo" "Different" "AN" "Three" 36 "N" "100" 0.2 1 5 -1.09861228866811
"182" "P033yo" "Different" "AN" "Three" 36 "N" "200" 0.2 1 5 -1.09861228866811
"183" "P033yo" "Different" "AN" "Three" 36 "N" "300" 0.2 1 5 -1.09861228866811
"184" "P033yo" "Different" "AN" "Three" 36 "N" "400" 0.2 1 5 -1.09861228866811
"185" "P033yo" "Different" "AN" "Three" 36 "N" "500" 0.4 2 5 -0.336472236621213
"186" "P033yo" "Different" "AN" "Three" 36 "N" "600" 0.4 2 5 -0.336472236621213
"187" "P033yo" "Different" "AN" "Three" 36 "N" "700" 0.4 2 5 -0.336472236621213
"188" "P033yo" "Different" "AN" "Three" 36 "N" "800" 0.4 2 5 -0.336472236621213
"189" "P033yo" "Different" "AN" "Three" 36 "N" "900" 0.6 3 5 0.336472236621213
"190" "P033yo" "Different" "AN" "Three" 36 "N" "1000" 0.8 4 5 1.09861228866811
"191" "P033yo" "Different" "AN" "Three" 36 "Y" "100" 0.5 2 4 0
"192" "P033yo" "Different" "AN" "Three" 36 "Y" "200" 0.5 2 4 0
"193" "P033yo" "Different" "AN" "Three" 36 "Y" "300" 0.5 2 4 0
"194" "P033yo" "Different" "AN" "Three" 36 "Y" "400" 0.5 2 4 0
"195" "P033yo" "Different" "AN" "Three" 36 "Y" "500" 0.5 2 4 0
"196" "P033yo" "Different" "AN" "Three" 36 "Y" "600" 0.5 2 4 0
"197" "P033yo" "Different" "AN" "Three" 36 "Y" "700" 1 4 4 2.19722457733622
"198" "P033yo" "Different" "AN" "Three" 36 "Y" "800" 1 4 4 2.19722457733622
"199" "P033yo" "Different" "AN" "Three" 36 "Y" "900" 1 4 4 2.19722457733622
"200" "P033yo" "Different" "AN" "Three" 36 "Y" "1000" 1 4 4 2.19722457733622
"201" "P033yo" "Same" "A" "Three" 36 "N" "100" 0.666666666666667 2 3 0.510825623765991
"202" "P033yo" "Same" "A" "Three" 36 "N" "200" 0.666666666666667 2 3 0.510825623765991
"203" "P033yo" "Same" "A" "Three" 36 "N" "300" 0.666666666666667 2 3 0.510825623765991
"204" "P033yo" "Same" "A" "Three" 36 "N" "400" 0.666666666666667 2 3 0.510825623765991
"205" "P033yo" "Same" "A" "Three" 36 "N" "500" 0.333333333333333 1 3 -0.510825623765991
"206" "P033yo" "Same" "A" "Three" 36 "N" "600" 0.333333333333333 1 3 -0.510825623765991
"207" "P033yo" "Same" "A" "Three" 36 "N" "700" 0.333333333333333 1 3 -0.510825623765991
"208" "P033yo" "Same" "A" "Three" 36 "N" "800" 0.666666666666667 2 3 0.510825623765991
"209" "P033yo" "Same" "A" "Three" 36 "N" "900" 0.666666666666667 2 3 0.510825623765991
"210" "P033yo" "Same" "A" "Three" 36 "N" "1000" 0.666666666666667 2 3 0.510825623765991
"211" "P033yo" "Same" "A" "Three" 36 "Y" "100" 0.333333333333333 1 3 -0.510825623765991
"212" "P033yo" "Same" "A" "Three" 36 "Y" "200" 0.333333333333333 1 3 -0.510825623765991
"213" "P033yo" "Same" "A" "Three" 36 "Y" "300" 0.666666666666667 2 3 0.510825623765991
"214" "P033yo" "Same" "A" "Three" 36 "Y" "400" 0.333333333333333 1 3 -0.510825623765991
"215" "P033yo" "Same" "A" "Three" 36 "Y" "500" 0.333333333333333 1 3 -0.510825623765991
"216" "P033yo" "Same" "A" "Three" 36 "Y" "600" 0.333333333333333 1 3 -0.510825623765991
"217" "P033yo" "Same" "A" "Three" 36 "Y" "700" 0.666666666666667 2 3 0.510825623765991
"218" "P033yo" "Same" "A" "Three" 36 "Y" "800" 0.666666666666667 2 3 0.510825623765991
"219" "P033yo" "Same" "A" "Three" 36 "Y" "900" 1 3 3 1.94591014905531
