"Participant" "TrialN" "ItemN" "Onset" "Determiner" "OldNew" "Agecat" "DO" "FixLoc" "FixationStart" "NOFIX" "DURPOSTDO3" "DISCARDONSET.D" "Perc_Dur" "DiscardTrial" "FixStart.rel" "DC" "DCC" "OC" "OCC" "AC" "ACC" "FixStart.rel.inv"
"P033yo" 2 2 "Different" "A" "N" "Three" 4010 "TARGET" 4927.8 0 1896.7 0 81.4034334763949 0 917.8 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00108956199607758
"P033yo" 5 8 "Different" "AN" "N" "Three" 4010 "TARGET" 4276.7 0 2029.9 0 87.1201716738197 0 266.7 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00374953130858643
"P033yo" 6 16 "Same" "A" "N" "Three" 4020 "TARGET" 4170.4 0 2002.8 0 86.3275862068966 0 150.4 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00664893617021278
"P033yo" 7 18 "Different" "AN" "N" "Three" 4020 "TARGET" 4696.8 0 2120.1 0 91.3836206896551 0 676.8 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00147754137115839
"P033yo" 9 13 "Same" "AN" "N" "Three" 4020 "TARGET" 5027.6 0 1845.6 0 79.551724137931 0 1007.6 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000992457324335053
"P033yo" 10 10 "Different" "A" "Y" "Three" 4020 "TARGET" 4916.7 0 1390 0 59.9137931034483 0 896.7 0.5 0.49737876802097 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.00111520017843203
"P033yo" 13 19 "Same" "A" "Y" "Three" 4010 "TARGET" 4117.6 0 2122.3 0 91.0858369098713 0 107.6 -0.5 -0.50262123197903 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.00929368029739774
"P033yo" 15 3 "Same" "AN" "Y" "Three" 4010 "TARGET" 4611.8 0 2063.3 0 88.5536480686695 0 601.8 -0.5 -0.50262123197903 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.00166168162180126
"P033yo" 18 11 "Same" "A" "Y" "Three" 4020 "TARGET" 5161.1 0 1512.1 0 65.176724137931 0 1141.1 -0.5 -0.50262123197903 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.000876347384103058
"P033yo" 19 4 "Different" "A" "Y" "Three" 4020 "TARGET" 4681.3 0 2153.3 0 92.8146551724138 0 661.3 0.5 0.49737876802097 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.00151217299259035
"P033yo" 24 4 "Same" "A" "N" "Three" 4020 "TARGET" 5275.1 0 998.2 0 43.0258620689655 0 1255.1 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000796749263006931
"P033yo" 25 5 "Different" "AN" "N" "Three" 4010 "TARGET" 5647.2 0 1496.7 0 64.2360515021459 0 1637.2 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000610798924993892
